ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
Aztec_Tetelcingo,Aztec_Tetelcingo,,18.8854,-98.893,tete1251,,Tetelcingo Nahuatl
Aztec_Zacapoaxtla,Aztec_Zacapoaxtla,,20.1554,-97.5556,high1278,,Highland Puebla Nahuatl
Cahuilla,Cahuilla,,33.5324,-116.691,cahu1264,,Cahuilla
Chemehuevi,Chemehuevi,,35.356093,-116.438436,chem1251,,Chemehuevi
ClassicalAztec,ClassicalAztec,,19.72,-96.97,clas1250,,Classical Nahuatl
Comanche,Comanche,,34.0,-101.0,coma1245,,Comanche
Cora,Cora,,22.4099,-104.467,elna1235,,El Nayar Cora
Cupeno,Cupeno,,33.3148,-116.515,cupe1243,,Cupeño
Eudeve,Eudeve,,28.5,-110.0,eude1234,,Eudeve
Gabrielino,Gabrielino,,34.1,-118.11,tong1329,,Tongva
Guarijio,Guarijio,,27.8685,-108.437,huar1255,,Huarijio
Hopi,Hopi,,35.7653,-110.535,hopi1249,,Hopi
Huichol,Huichol,,21.954,-104.062,huic1243,,Huichol
Kawaiisu,Kawaiisu,,36.0538,-118.679,kawa1283,,Kawaiisu
Kitanemuk,Kitanemuk,,33.9479,-116.772,serr1255,,Serrano
Luiseno,Luiseno,,33.3184,-116.939,luis1253,,Luiseno-Juaneño
Mayo,Mayo,,26.4522,-108.981,mayo1264,,Mayo
Mono,Mono,,37.1935,-119.347,mono1275,,Mono (USA)
NorthernPaiute,NorthernPaiute,,40.0799,-119.536,nort2954,,Northern Paiute
NorthernTepehuan,NorthernTepehuan,,26.4348,-107.379,nort2959,,Northern Tepehuan
Opata,Opata,,31.15211,-110.06212,opat1246,,Teguima
Pannamint,Pannamint,,36.0007,-117.901,pana1305,,Panamint
PapagoPima,PapagoPima,,31.7973,-111.995,toho1245,,Tohono O'odham
PimadeOnavas,PimadeOnavas,,28.654,-108.326,pima1248,,Pima Bajo
Pipil,Pipil,,13.8931,-89.443,pipi1250,,Pipil
Serrano,Serrano,,33.9479,-116.772,serr1255,,Serrano
Shoshoni_GosiuteDialect,Shoshoni_GosiuteDialect,,,,gosi1242,,Gosiute
SoutheasternTepehuan,SoutheasternTepehuan,,23.2553,-104.688,sout2977,,Southwestern Tepehuan
SouthernPaiute,SouthernPaiute,,37.0,-114.0,sout2969,,Southern Paiute
SouthernUte,SouthernUte,,38.0,-109.0,utee1244,,Ute
Tarahumara,Tarahumara,,27.5648,-107.154,cent2131,,Central Tarahumara
Tubar,Tubar,,30.0,-111.0,tuba1279,,Tubar
Tubatulabel,Tubatulabel,,35.327,-117.163,tuba1278,,Tübatulabal
Yaqui,Yaqui,,29.9446,-110.681,yaqu1251,,Yaqui
