ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,substitutions,Dunn2011
posterior-1,tree.1005000.7149.431067,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-2,tree.1010000.7142.602593,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-3,tree.1015000.7158.470094,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-4,tree.1020000.7154.770007,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-5,tree.1025000.7152.902973,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-6,tree.1030000.7165.309531,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-7,tree.1035000.7163.919433,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-8,tree.1040000.7154.068472,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-9,tree.1045000.7154.694286,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-10,tree.1050000.7148.392199,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-11,tree.1055000.7161.766060,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-12,tree.1060000.7150.998193,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-13,tree.1065000.7149.522249,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-14,tree.1070000.7161.292013,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-15,tree.1075000.7164.184713,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-16,tree.1080000.7146.443028,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-17,tree.1085000.7141.688025,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-18,tree.1090000.7148.402409,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-19,tree.1095000.7152.319097,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-20,tree.1100000.7150.123695,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-21,tree.1105000.7151.119770,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-22,tree.1110000.7151.233792,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-23,tree.1115000.7170.858258,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-24,tree.1120000.7148.703061,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-25,tree.1125000.7142.523661,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-26,tree.1130000.7156.438606,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-27,tree.1135000.7150.486625,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-28,tree.1140000.7152.080663,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-29,tree.1145000.7153.208183,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-30,tree.1150000.7152.124907,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-31,tree.1155000.7166.114176,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-32,tree.1160000.7163.190704,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-33,tree.1165000.7153.512966,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-34,tree.1170000.7154.236947,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-35,tree.1175000.7165.129083,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-36,tree.1180000.7162.038211,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-37,tree.1185000.7154.919946,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-38,tree.1190000.7160.840616,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-39,tree.1195000.7157.715484,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-40,tree.1200000.7157.160638,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-41,tree.1205000.7155.571966,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-42,tree.1210000.7156.706368,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-43,tree.1215000.7159.408243,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-44,tree.1220000.7158.047870,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-45,tree.1225000.7145.231916,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-46,tree.1230000.7153.069666,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-47,tree.1235000.7152.973088,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-48,tree.1240000.7155.812865,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-49,tree.1245000.7160.145234,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-50,tree.1250000.7165.506703,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-51,tree.1255000.7156.044044,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-52,tree.1260000.7156.588453,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-53,tree.1265000.7151.389457,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-54,tree.1270000.7164.424009,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-55,tree.1275000.7158.499918,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-56,tree.1280000.7160.662198,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-57,tree.1285000.7150.532071,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-58,tree.1290000.7139.876003,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-59,tree.1295000.7154.618928,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-60,tree.1300000.7143.352526,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-61,tree.1305000.7155.370396,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-62,tree.1310000.7150.778582,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-63,tree.1315000.7152.457922,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-64,tree.1320000.7175.725887,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-65,tree.1325000.7153.574512,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-66,tree.1330000.7155.320445,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-67,tree.1335000.7152.013325,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-68,tree.1340000.7168.358636,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-69,tree.1345000.7152.826762,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-70,tree.1350000.7153.646455,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-71,tree.1355000.7149.039021,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-72,tree.1360000.7147.375447,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-73,tree.1365000.7150.371812,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-74,tree.1370000.7148.397372,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-75,tree.1375000.7153.280604,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-76,tree.1380000.7159.422501,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-77,tree.1385000.7156.418813,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-78,tree.1390000.7151.950293,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-79,tree.1395000.7163.410553,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-80,tree.1400000.7156.078549,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-81,tree.1405000.7160.537733,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-82,tree.1410000.7153.685614,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-83,tree.1415000.7162.495958,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-84,tree.1420000.7161.057173,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-85,tree.1425000.7151.120930,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-86,tree.1430000.7155.435244,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-87,tree.1435000.7161.423749,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-88,tree.1440000.7148.571284,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-89,tree.1445000.7153.998866,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-90,tree.1450000.7146.567374,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-91,tree.1455000.7154.289297,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-92,tree.1460000.7150.888312,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-93,tree.1465000.7151.027323,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-94,tree.1470000.7148.396374,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-95,tree.1475000.7145.135334,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-96,tree.1480000.7151.263286,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-97,tree.1485000.7158.159352,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-98,tree.1490000.7148.174518,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-99,tree.1495000.7153.570084,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-100,tree.1500000.7155.733445,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-101,tree.1505000.7152.174796,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-102,tree.1510000.7151.093121,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-103,tree.1515000.7140.830833,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-104,tree.1520000.7150.223092,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-105,tree.1525000.7145.864162,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-106,tree.1530000.7159.304586,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-107,tree.1535000.7164.944226,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-108,tree.1540000.7155.447990,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-109,tree.1545000.7163.899566,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-110,tree.1550000.7146.062139,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-111,tree.1555000.7162.671037,posterior.trees,,sample,bayesian,substitutions,Dunn2011
posterior-112,tree.1560000.7161.198616,posterior.trees,,sample,bayesian,substitutions,Dunn2011
